REGION,DISTRICT,new_FACILITY,Year,Month,Suspect,n
Arusha,Arumeru,Tengeru District Hospital,2023,8,Suspect,14
Arusha,Arumeru,Tengeru District Hospital,2023,9,Healthy,3
Arusha,Arumeru,Tengeru District Hospital,2023,9,Suspect,6
Arusha,Arumeru,Tengeru District Hospital,2023,10,Healthy,2
Arusha,Arumeru,Tengeru District Hospital,2023,10,Suspect,1
Arusha,Arumeru,Tengeru District Hospital,2023,12,Suspect,1
Arusha,Arusha,Kaloreni Health Center,2023,1,Healthy,1
Arusha,Arusha,Kaloreni Health Center,2023,2,Healthy,5
Arusha,Arusha,Kaloreni Health Center,2023,2,Suspect,6
Arusha,Arusha,Kaloreni Health Center,2023,3,Healthy,11
Arusha,Arusha,Kaloreni Health Center,2023,3,Suspect,12
Arusha,Arusha,Kaloreni Health Center,2023,4,Healthy,39
Arusha,Arusha,Kaloreni Health Center,2023,4,Suspect,31
Arusha,Arusha,Kaloreni Health Center,2023,5,Healthy,29
Arusha,Arusha,Kaloreni Health Center,2023,5,Suspect,14
Arusha,Arusha,Kaloreni Health Center,2023,6,Healthy,27
Arusha,Arusha,Kaloreni Health Center,2023,7,Healthy,18
Arusha,Arusha,Kaloreni Health Center,2023,7,Suspect,1
Arusha,Arusha,Kaloreni Health Center,2023,8,Healthy,26
Arusha,Arusha,Kaloreni Health Center,2023,8,Suspect,6
Arusha,Arusha,Kaloreni Health Center,2023,9,Healthy,22
Arusha,Arusha,Kaloreni Health Center,2023,9,Suspect,1
Arusha,Arusha,Kaloreni Health Center,2023,10,Healthy,36
Arusha,Arusha,Kaloreni Health Center,2023,10,Suspect,5
Arusha,Arusha,Kaloreni Health Center,2023,11,Healthy,36
Arusha,Arusha,Kaloreni Health Center,2023,11,Suspect,8
Arusha,Arusha,Kaloreni Health Center,2023,12,Healthy,29
Arusha,Arusha,Kaloreni Health Center,2023,12,Suspect,2
Arusha,Arusha,Mt Meru Regional Hospital,2023,1,Suspect,1
Arusha,Arusha,Mt Meru Regional Hospital,2023,3,Suspect,2
Arusha,Arusha,Mt Meru Regional Hospital,2023,5,Suspect,2
Arusha,Arusha,Mt Meru Regional Hospital,2023,9,Suspect,2
Arusha,Arusha,Mt Meru Regional Hospital,2023,10,Suspect,1
Arusha,Arusha,Mt Meru Regional Hospital,2023,11,Suspect,1
Arusha,Arusha,Nduruma Health Center,2023,8,Suspect,1
Arusha,Arusha,Ngorongoro District Hospital,2023,12,Healthy,1
Arusha,Arusha,Njiro Health Center,2023,1,Suspect,7
Arusha,Arusha,Njiro Health Center,2023,2,Suspect,4
Arusha,Arusha,Njiro Health Center,2023,3,Healthy,4
Arusha,Arusha,Njiro Health Center,2023,3,Suspect,1
Arusha,Arusha,Njiro Health Center,2023,4,Healthy,7
Arusha,Arusha,Njiro Health Center,2023,4,Suspect,11
Arusha,Arusha,Njiro Health Center,2023,5,Suspect,4
Arusha,Arusha,Njiro Health Center,2023,6,Suspect,2
Arusha,Arusha,Njiro Health Center,2023,8,Healthy,2
Arusha,Arusha,Njiro Health Center,2023,9,Suspect,1
Arusha,Arusha,Njiro Health Center,2023,12,Healthy,1
Arusha,Arusha,Sakala Health Center,2023,5,Healthy,1
Arusha,Arusha,Tengeru District Hospital,2023,6,Healthy,1
Arusha,Arusha,Tengeru District Hospital,2023,6,Suspect,2
Arusha,Karatu,Endulen Hospital,2020,10,Healthy,1
Arusha,Karatu,Endulen Hospital,2020,11,Suspect,1
Arusha,Karatu,Endulen Hospital,2021,1,Suspect,1
Arusha,Karatu,FAME Health Center,2019,3,Suspect,1
Arusha,Karatu,FAME Health Center,2019,5,Healthy,1
Arusha,Karatu,FAME Health Center,2019,5,Suspect,1
Arusha,Karatu,FAME Health Center,2019,6,Suspect,4
Arusha,Karatu,FAME Health Center,2019,7,Suspect,4
Arusha,Karatu,FAME Health Center,2019,10,Suspect,1
Arusha,Karatu,FAME Health Center,2019,11,Suspect,2
Arusha,Karatu,FAME Health Center,2019,12,Suspect,1
Arusha,Karatu,FAME Health Center,2020,1,Suspect,1
Arusha,Karatu,FAME Health Center,2020,2,Suspect,2
Arusha,Karatu,FAME Health Center,2020,3,Healthy,1
Arusha,Karatu,FAME Health Center,2020,3,Suspect,1
Arusha,Karatu,FAME Health Center,2020,4,Suspect,1
Arusha,Karatu,FAME Health Center,2020,5,Suspect,1
Arusha,Karatu,FAME Health Center,2020,8,Healthy,1
Arusha,Karatu,FAME Health Center,2020,8,Suspect,1
Arusha,Karatu,FAME Health Center,2021,2,Suspect,1
Arusha,Karatu,FAME Health Center,2021,5,Suspect,1
Arusha,Karatu,FAME Health Center,2021,6,Suspect,1
Arusha,Karatu,FAME Health Center,2021,11,Suspect,1
Arusha,Karatu,FAME Health Center,2022,5,Healthy,1
Arusha,Karatu,FAME Health Center,2022,5,Suspect,6
Arusha,Karatu,FAME Health Center,2022,7,Suspect,2
Arusha,Karatu,FAME Health Center,2022,8,Healthy,1
Arusha,Karatu,FAME Health Center,2022,8,Suspect,3
Arusha,Karatu,FAME Health Center,2022,9,Suspect,2
Arusha,Karatu,FAME Health Center,2022,10,Suspect,1
Arusha,Karatu,FAME Health Center,2023,1,Suspect,2
Arusha,Karatu,FAME Health Center,2023,2,Suspect,11
Arusha,Karatu,FAME Health Center,2023,3,Suspect,3
Arusha,Karatu,FAME Health Center,2023,5,Suspect,2
Arusha,Karatu,FAME Health Center,2023,6,Suspect,5
Arusha,Karatu,FAME Health Center,2023,7,Suspect,5
Arusha,Karatu,FAME Health Center,2023,8,Suspect,1
Arusha,Karatu,FAME Health Center,2023,9,Suspect,1
Arusha,Karatu,FAME Health Center,2023,10,Suspect,2
Arusha,Karatu,Kakesio Dispensary,2020,2,Suspect,3
Arusha,Karatu,Kakesio Dispensary,2020,6,Suspect,1
Arusha,Karatu,Karatu Health Center,2023,3,Healthy,1
Arusha,Karatu,Karatu Health Center,2023,3,Suspect,1
Arusha,Karatu,Kingolwira Health Center,2019,8,Suspect,1
Arusha,Karatu,Lutheran Hospital,2023,2,Suspect,2
Arusha,Karatu,Lutheran Hospital,2023,4,Suspect,4
Arusha,Karatu,Lutheran Hospital,2023,6,Suspect,1
Arusha,Karatu,Lutheran Hospital,2023,7,Suspect,1
Arusha,Karatu,Lutheran Hospital,2023,9,Suspect,1
Arusha,Karatu,Mt Meru Regional Hospital,2023,1,Suspect,1
Arusha,Karatu,Mt Meru Regional Hospital,2023,2,Suspect,1
Arusha,Karatu,Mt Meru Regional Hospital,2023,9,Healthy,1
Arusha,Karatu,Mt Meru Regional Hospital,2023,10,Suspect,1
Arusha,Karatu,NCAA Dispensary,2020,8,Suspect,2
Arusha,Karatu,Njiro Health Center,2023,8,Suspect,1
Arusha,Karatu,Olbalbal Dispensary,2020,10,Suspect,1
Arusha,Karatu,Rhotia Health Center,2023,3,Healthy,1
Arusha,Karatu,Rhotia Health Center,2023,3,Suspect,1
Arusha,Karatu,Rhotia Health Center,2023,5,Suspect,1
Arusha,Karatu,Rhotia Health Center,2023,8,Healthy,2
Arusha,Karatu,Rhotia Health Center,2023,8,Suspect,1
Arusha,Karatu,Rhotia Health Center,2023,9,Suspect,1
Arusha,Karatu,Rhotia Health Center,2023,10,Healthy,2
Arusha,Karatu,Tanzania Facility,2019,3,Healthy,1
Arusha,Karatu,Tanzania Facility,2019,3,Suspect,1
Arusha,Karatu,Tanzania Facility,2019,4,Healthy,1
Arusha,Longido,Esere Dispensary,2020,10,Healthy,1
Arusha,Longido,Kaloreni Health Center,2023,2,Suspect,1
Arusha,Longido,Missigiyo Dispensary,2020,10,Healthy,1
Arusha,Longido,Missing,2018,8,Suspect,1
Arusha,Longido,Mt Meru Regional Hospital,2023,1,Suspect,1
Arusha,Longido,Mt Meru Regional Hospital,2023,8,Suspect,1
Arusha,Longido,Njiro Health Center,2023,7,Healthy,1
Arusha,Longido,Njiro Health Center,2023,8,Suspect,1
Arusha,Longido,Tengeru District Hospital,2023,6,Suspect,1
Arusha,Monduli,FAME Health Center,2019,5,Suspect,2
Arusha,Monduli,FAME Health Center,2019,7,Suspect,1
Arusha,Monduli,FAME Health Center,2023,6,Suspect,2
Arusha,Monduli,Kaloreni Health Center,2023,1,Suspect,1
Arusha,Monduli,Kaloreni Health Center,2023,4,Healthy,1
Arusha,Monduli,Kaloreni Health Center,2023,5,Healthy,3
Arusha,Monduli,Kaloreni Health Center,2023,7,Healthy,1
Arusha,Monduli,Kaloreni Health Center,2023,8,Healthy,3
Arusha,Monduli,Kaloreni Health Center,2023,9,Healthy,5
Arusha,Monduli,Kaloreni Health Center,2023,11,Healthy,1
Arusha,Monduli,Kaloreni Health Center,2023,12,Healthy,1
Arusha,Monduli,Kingolwira Health Center,2019,9,Suspect,1
Arusha,Monduli,Monduli Hospital,2023,1,Healthy,1
Arusha,Monduli,Monduli Hospital,2023,3,Healthy,1
Arusha,Monduli,Mt Meru Regional Hospital,2023,1,Suspect,1
Arusha,Monduli,Mt Meru Regional Hospital,2023,3,Healthy,1
Arusha,Monduli,Njiro Health Center,2023,9,Healthy,1
Arusha,Monduli,Rhotia Health Center,2023,11,Suspect,1
Arusha,NANA,Kaloreni Health Center,2023,9,Healthy,1
Arusha,NANA,Kaloreni Health Center,2023,12,Healthy,1
Arusha,Ngorongoro,Endulen Hospital,2021,3,Suspect,1
Arusha,Ngorongoro,Endulen Hospital,2022,7,Suspect,4
Arusha,Ngorongoro,FAME Health Center,2019,4,Suspect,6
Arusha,Ngorongoro,FAME Health Center,2019,5,Suspect,5
Arusha,Ngorongoro,FAME Health Center,2019,6,Suspect,1
Arusha,Ngorongoro,FAME Health Center,2019,7,Suspect,3
Arusha,Ngorongoro,FAME Health Center,2019,12,Suspect,1
Arusha,Ngorongoro,FAME Health Center,2020,4,Suspect,1
Arusha,Ngorongoro,FAME Health Center,2020,5,Suspect,1
Arusha,Ngorongoro,FAME Health Center,2020,7,Suspect,1
Arusha,Ngorongoro,FAME Health Center,2021,1,Suspect,1
Arusha,Ngorongoro,FAME Health Center,2021,7,Suspect,1
Arusha,Ngorongoro,FAME Health Center,2021,8,Suspect,1
Arusha,Ngorongoro,FAME Health Center,2021,11,Suspect,3
Arusha,Ngorongoro,FAME Health Center,2022,2,Suspect,5
Arusha,Ngorongoro,FAME Health Center,2022,3,Suspect,3
Arusha,Ngorongoro,FAME Health Center,2022,4,Suspect,1
Arusha,Ngorongoro,FAME Health Center,2022,5,Suspect,2
Arusha,Ngorongoro,FAME Health Center,2022,6,Suspect,3
Arusha,Ngorongoro,FAME Health Center,2022,7,Suspect,1
Arusha,Ngorongoro,FAME Health Center,2022,8,Suspect,4
Arusha,Ngorongoro,FAME Health Center,2023,5,Suspect,1
Arusha,Ngorongoro,Karatu Health Center,2023,3,Suspect,1
Arusha,Ngorongoro,Kingolwira Health Center,2019,8,Suspect,1
Arusha,Ngorongoro,Kingolwira Health Center,2019,9,Suspect,1
Arusha,Ngorongoro,Lutheran Hospital,2019,3,Suspect,1
Arusha,Ngorongoro,Missigiyo Dispensary,2020,10,Healthy,1
Arusha,Ngorongoro,Missigiyo Dispensary,2021,3,Suspect,6
Arusha,Ngorongoro,Missigiyo Dispensary,2021,4,Suspect,2
Arusha,Ngorongoro,Missigiyo Dispensary,2021,5,Healthy,1
Arusha,Ngorongoro,Missigiyo Dispensary,2021,6,Suspect,1
Arusha,Ngorongoro,Missigiyo Dispensary,2021,7,Suspect,1
Arusha,Ngorongoro,Missigiyo Dispensary,2021,8,Suspect,2
Arusha,Ngorongoro,Missigiyo Dispensary,2021,9,Suspect,1
Arusha,Ngorongoro,Mt Meru Regional Hospital,2023,4,Suspect,1
Arusha,Ngorongoro,NCAA Dispensary,2019,7,Healthy,1
Arusha,Ngorongoro,Nainokanoka Health Center,2020,7,Suspect,1
Arusha,Ngorongoro,Nainokanoka Health Center,2020,8,Suspect,1
Arusha,Ngorongoro,Nainokanoka Health Center,2023,3,Suspect,2
Arusha,Ngorongoro,Nainokanoka Health Center,2023,9,Suspect,1
Arusha,Ngorongoro,Ngorongoro District Hospital,2022,6,Suspect,1
Arusha,Ngorongoro,Ngorongoro District Hospital,2022,7,Suspect,4
Arusha,Ngorongoro,Ngorongoro District Hospital,2022,8,Suspect,5
Arusha,Ngorongoro,Ngorongoro District Hospital,2023,11,Healthy,2
Arusha,Ngorongoro,Ngorongoro District Hospital,2023,11,Suspect,1
Arusha,Ngorongoro,Ngorongoro District Hospital,2023,12,Healthy,7
Arusha,Ngorongoro,Ngorongoro District Hospital,2023,12,Suspect,1
Arusha,Ngorongoro,Oloiolobi Dispensary,2020,12,Suspect,1
Arusha,Ngorongoro,Oloiolobi Dispensary,2022,7,Suspect,4
Arusha,Ngorongoro,Sakala Health Center,2023,7,Suspect,1
Arusha,Ngorongoro,Sakala Health Center,2023,8,Suspect,3
Arusha,Ngorongoro,Sakala Health Center,2023,9,Suspect,1
Arusha,Ngorongoro,Wasso Hospital,2022,1,Suspect,6
Arusha,Ngorongoro,Wasso Hospital,2022,2,Suspect,9
Arusha,Ngorongoro,Wasso Hospital,2022,3,Suspect,5
Arusha,Ngorongoro,Wasso Hospital,2022,4,Healthy,1
Arusha,Ngorongoro,Wasso Hospital,2022,4,Suspect,2
Arusha,Ngorongoro,Wasso Hospital,2022,5,Suspect,7
Arusha,Ngorongoro,Wasso Hospital,2022,8,Healthy,2
Arusha,Ngorongoro,Wasso Hospital,2022,8,Suspect,6
Arusha,Ngorongoro,Wasso Hospital,2023,1,Healthy,1
Arusha,Ngorongoro,Wasso Hospital,2023,2,Healthy,4
Arusha,Ngorongoro,Wasso Hospital,2023,2,Suspect,7
Arusha,Ngorongoro,Wasso Hospital,2023,3,Healthy,7
Arusha,Ngorongoro,Wasso Hospital,2023,4,Healthy,9
Arusha,Ngorongoro,Wasso Hospital,2023,5,Suspect,1
Arusha,Ngorongoro,Wasso Hospital,2023,6,Suspect,4
Arusha,Ngorongoro,Wasso Hospital,2023,7,Suspect,1
Arusha,Ngorongoro,Wasso Hospital,2023,8,Healthy,1
Arusha,Ngorongoro,Wasso Hospital,2023,8,Suspect,7
Arusha,Ngorongoro,Wasso Hospital,2023,9,Suspect,5
Arusha,Ngorongoro,Wasso Hospital,2023,10,Healthy,1
Arusha,Ngorongoro,Wasso Hospital,2023,11,Healthy,9
Arusha,Ngorongoro,Wasso Hospital,2023,11,Suspect,3
Arusha,Ngorongoro,Wasso Hospital,2023,12,Suspect,1
Kaskazini Pemba,Micheweni,Tanzania Facility,2022,8,Suspect,1
Kusini Pemba,Chake Chake,Chakechake District Hospital,2018,9,Healthy,1
Kusini Pemba,Mkoani,Tanzania Facility,2022,8,Healthy,1
Lindi,Kilwa,Buhemba Health Center,2022,2,Healthy,2
Lindi,Kilwa,Buhemba Health Center,2022,8,Healthy,1
Lindi,Kilwa,Buhemba Health Center,2022,9,Healthy,1
Lindi,Kilwa,Buhemba Health Center,2022,10,Healthy,2
Lindi,Kilwa,Buhemba Health Center,2022,10,Suspect,1
Lindi,Kilwa,Buhemba Health Center,2022,11,Healthy,4
Lindi,Kilwa,Buhemba Health Center,2022,11,Suspect,1
Lindi,Kilwa,Buhemba Health Center,2023,5,Healthy,4
Lindi,Kilwa,Buhemba Health Center,2023,5,Suspect,3
Lindi,Kilwa,Kilwa Masoko Health Center,2018,8,Healthy,2
Lindi,Kilwa,Kilwa Masoko Health Center,2018,8,Suspect,2
Lindi,Kilwa,Kilwa Masoko Health Center,2019,9,Suspect,2
Lindi,Kilwa,Kilwa Masoko Health Center,2020,1,Suspect,1
Lindi,Kilwa,Kilwa Masoko Health Center,2020,2,Suspect,6
Lindi,Kilwa,Kilwa Masoko Health Center,2020,3,Suspect,1
Lindi,Kilwa,Kilwa Masoko Health Center,2020,4,Suspect,4
Lindi,Kilwa,Kilwa Masoko Health Center,2020,5,Suspect,3
Lindi,Kilwa,Kilwa Masoko Health Center,2020,7,Suspect,5
Lindi,Kilwa,Kilwa Masoko Health Center,2020,8,Suspect,4
Lindi,Kilwa,Kilwa Masoko Health Center,2020,9,Suspect,1
Lindi,Kilwa,Kilwa Masoko Health Center,2020,12,Healthy,4
Lindi,Kilwa,Kilwa Masoko Health Center,2021,2,Healthy,2
Lindi,Kilwa,Kilwa Masoko Health Center,2021,2,Suspect,3
Lindi,Kilwa,Kilwa Masoko Health Center,2021,3,Healthy,1
Lindi,Kilwa,Kilwa Masoko Health Center,2021,3,Suspect,1
Lindi,Kilwa,Kilwa Masoko Health Center,2021,4,Suspect,1
Lindi,Kilwa,Kilwa Masoko Health Center,2021,5,Healthy,2
Lindi,Kilwa,Kilwa Masoko Health Center,2021,5,Suspect,1
Lindi,Kilwa,Kilwa Masoko Health Center,2021,10,Suspect,2
Lindi,Kilwa,Kilwa Masoko Health Center,2021,11,Healthy,1
Lindi,Kilwa,Kilwa Masoko Health Center,2021,11,Suspect,3
Lindi,Kilwa,Kilwa Masoko Health Center,2022,4,Suspect,1
Lindi,Kilwa,Kilwa Masoko Health Center,2022,7,Suspect,22
Lindi,Kilwa,Kilwa Masoko Health Center,2022,10,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2018,8,Healthy,3
Lindi,Kilwa,Kinyonga District Hospital,2018,8,Suspect,3
Lindi,Kilwa,Kinyonga District Hospital,2018,9,Healthy,4
Lindi,Kilwa,Kinyonga District Hospital,2018,9,Suspect,5
Lindi,Kilwa,Kinyonga District Hospital,2018,10,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2018,11,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2018,11,Suspect,7
Lindi,Kilwa,Kinyonga District Hospital,2018,12,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2018,12,Suspect,6
Lindi,Kilwa,Kinyonga District Hospital,2019,1,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2019,1,Suspect,3
Lindi,Kilwa,Kinyonga District Hospital,2019,2,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2019,2,Suspect,4
Lindi,Kilwa,Kinyonga District Hospital,2019,3,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2019,3,Suspect,12
Lindi,Kilwa,Kinyonga District Hospital,2019,4,Suspect,12
Lindi,Kilwa,Kinyonga District Hospital,2019,5,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2019,6,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2019,6,Suspect,9
Lindi,Kilwa,Kinyonga District Hospital,2019,7,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2019,7,Suspect,8
Lindi,Kilwa,Kinyonga District Hospital,2019,8,Suspect,9
Lindi,Kilwa,Kinyonga District Hospital,2019,9,Suspect,13
Lindi,Kilwa,Kinyonga District Hospital,2019,10,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2019,10,Suspect,27
Lindi,Kilwa,Kinyonga District Hospital,2019,11,Suspect,17
Lindi,Kilwa,Kinyonga District Hospital,2019,12,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2019,12,Suspect,7
Lindi,Kilwa,Kinyonga District Hospital,2020,1,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2020,2,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2020,2,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2020,3,Suspect,3
Lindi,Kilwa,Kinyonga District Hospital,2020,4,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2020,4,Suspect,4
Lindi,Kilwa,Kinyonga District Hospital,2020,5,Healthy,3
Lindi,Kilwa,Kinyonga District Hospital,2020,5,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2020,6,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2020,6,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2020,7,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2020,7,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2020,8,Healthy,7
Lindi,Kilwa,Kinyonga District Hospital,2020,8,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2020,9,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2020,9,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2020,10,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2020,10,Suspect,2
Lindi,Kilwa,Kinyonga District Hospital,2020,11,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2020,12,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2020,12,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2021,6,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2021,6,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2021,7,Healthy,3
Lindi,Kilwa,Kinyonga District Hospital,2021,7,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2021,8,Healthy,4
Lindi,Kilwa,Kinyonga District Hospital,2021,8,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2021,9,Suspect,3
Lindi,Kilwa,Kinyonga District Hospital,2021,10,Suspect,17
Lindi,Kilwa,Kinyonga District Hospital,2021,11,Suspect,7
Lindi,Kilwa,Kinyonga District Hospital,2022,1,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2022,2,Suspect,2
Lindi,Kilwa,Kinyonga District Hospital,2022,3,Suspect,8
Lindi,Kilwa,Kinyonga District Hospital,2022,4,Suspect,13
Lindi,Kilwa,Kinyonga District Hospital,2022,5,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2022,5,Suspect,14
Lindi,Kilwa,Kinyonga District Hospital,2022,6,Suspect,11
Lindi,Kilwa,Kinyonga District Hospital,2022,7,Suspect,12
Lindi,Kilwa,Kinyonga District Hospital,2022,8,Suspect,44
Lindi,Kilwa,Kinyonga District Hospital,2022,9,Suspect,25
Lindi,Kilwa,Kinyonga District Hospital,2022,10,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2022,10,Suspect,17
Lindi,Kilwa,Kinyonga District Hospital,2022,11,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2022,11,Suspect,16
Lindi,Kilwa,Kinyonga District Hospital,2022,12,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2022,12,Suspect,10
Lindi,Kilwa,Kinyonga District Hospital,2023,1,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2023,1,Suspect,9
Lindi,Kilwa,Kinyonga District Hospital,2023,2,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2023,2,Suspect,7
Lindi,Kilwa,Kinyonga District Hospital,2023,3,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2023,3,Suspect,11
Lindi,Kilwa,Kinyonga District Hospital,2023,4,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2023,4,Suspect,9
Lindi,Kilwa,Kinyonga District Hospital,2023,5,Suspect,6
Lindi,Kilwa,Kinyonga District Hospital,2023,6,Suspect,6
Lindi,Kilwa,Kinyonga District Hospital,2023,7,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2023,7,Suspect,15
Lindi,Kilwa,Kinyonga District Hospital,2023,8,Healthy,1
Lindi,Kilwa,Kinyonga District Hospital,2023,8,Suspect,8
Lindi,Kilwa,Kinyonga District Hospital,2023,9,Suspect,1
Lindi,Kilwa,Kinyonga District Hospital,2023,10,Healthy,2
Lindi,Kilwa,Kinyonga District Hospital,2023,10,Suspect,16
Lindi,Kilwa,Kinyonga District Hospital,2023,11,Healthy,3
Lindi,Kilwa,Kinyonga District Hospital,2023,11,Suspect,3
Lindi,Kilwa,Kinyonga District Hospital,2023,12,Healthy,3
Lindi,Kilwa,Kinyonga District Hospital,2023,12,Suspect,3
Lindi,Kilwa,Kitomanga Health Center,2022,1,Suspect,1
Lindi,Kilwa,Kitomanga Health Center,2022,11,Healthy,1
Lindi,Kilwa,Kitomanga Health Center,2022,12,Healthy,1
Lindi,Kilwa,Kitomanga Health Center,2022,12,Suspect,1
Lindi,Kilwa,Kitomanga Health Center,2023,2,Suspect,1
Lindi,Kilwa,Kitomanga Health Center,2023,6,Healthy,1
Lindi,Kilwa,Kitomanga Health Center,2023,6,Suspect,4
